structure,Max_depth,Score_support,Min_samples_split,Min_bin_exp,D,Cohen,Random_proj_exp,Random_proj_depth,Weight-,Acceleration+,Mpg+,N+
20,5,4,14,0.63901083445279,2,1.42104523959324,0.578275373035942,3,2250,15.75,30,116
28,5,2,23,0.827402942777495,3,1.43063173583098,0.621298610429105,2,2234,16.1,30,203
14,5,1,34,0.3966501364176,4,0.465433287587563,0.393348539474885,4,2234,16.1,30,203
9,5,4,31,0.805593195310947,4,1.30386209757544,0.477674784358302,5,2188,16.7,30,167
1,4,1,9,0.40764899012447,2,0.635998426069892,0.367187213744455,4,2070,16.4,30,109
29,2,3,16,0.621049799600907,1,0.964521829910375,0.548887414812605,3,2565,16.4,30,169
18,4,1,18,0.175780668958167,3,1.28671878351565,0.413988329271856,3,2234,16.1,30,203
16,2,4,39,0.583688857507431,3,0.448968321234324,0.564948203129205,4,2155,16.4,30,79
16,5,2,23,0.513766925709902,3,1.05762137081604,0.408852061847445,2,2234,16.1,30,203
4,4,4,45,0.408475206720245,1,1.43484555123349,0.316226477024881,2,2560,16,30,305
19,3,1,23,0.772067814160194,2,0.296742445842222,0.349472977212307,2,2234,16.1,30,203
9,4,2,45,0.619668149020285,3,0.68861417501385,0.536066153939333,4,2217,16,30,188
18,5,2,11,0.414822392273773,2,0.453758189757406,0.660957442409336,5,2234,16.1,30,203
6,4,3,30,0.37065995592792,3,0.17263339539469,0.446399821807999,3,2155,16.4,30,79
21,3,3,21,0.409781073797611,1,1.16045624977668,0.45411160634123,2,2234,16.1,30,203
30,3,2,16,0.35416399038122,1,0.436946696426104,0.311266936058632,5,2155,16.4,30,79
15,4,2,15,0.753604126257771,1,0.78385149756407,0.690924455513331,4,2234,16.1,30,203
31,2,4,41,0.143724862372145,2,1.09309568430357,0.462521815379238,5,2430,16.5,30,149
21,5,3,29,0.51131586529364,3,0.516420401132019,0.503991618084432,3,1995,15.9,30,28
5,4,4,11,0.1438970226296,3,0.379238574245442,0.303314742722786,5,2070,16.4,30,70
6,2,2,44,0.810126137499187,4,1.18804303705129,0.320523857722446,3,2195,15.6,30,94
22,5,3,49,0.626206047846646,2,0.190409142910037,0.580755790968605,4,2234,16.1,30,203
16,4,3,47,0.414768840180695,3,1.29071017268846,0.378157366335107,4,2155,16.4,30,79
3,2,3,35,0.136317572081428,1,0.359073863868087,0.409413579090185,5,2246,15.5,30,63
2,3,2,10,0.466417338785272,1,0.425950810488645,0.586493824734436,4,2155,16.4,30,79
25,2,4,26,0.507180652962772,1,0.321291730992322,0.482059874326388,2,2234,16.1,30,203
29,4,1,49,0.324463728819287,4,0.587196130165065,0.557127218831025,5,2234,16.1,30,203
3,4,4,7,0.399991605804094,1,0.808642009106918,0.587130472748219,3,2155,16.4,30,79
16,4,1,12,0.834745769176631,2,0.463436296740406,0.656173977544357,4,2234,16.1,30,203
13,3,1,20,0.158737327485843,4,0.868564622993533,0.604198136077982,2,2234,16.1,30,203
25,5,4,48,0.7223636755979,2,1.41892710476168,0.67824196133714,4,2234,16.1,30,203
8,3,4,50,0.519564269326342,2,0.372967930849727,0.611232145427026,5,2155,16.4,30,79
13,3,1,42,0.219628225033096,4,0.969368252000393,0.681352725218215,2,2234,16.1,30,203
20,2,1,47,0.728679860147387,4,1.28746960079931,0.673547010037361,5,2234,16.1,30,203
2,2,4,49,0.750594229951042,4,0.939407500197402,0.468333343284262,3,2155,16.4,30,79
17,3,3,14,0.166876049025751,3,0.83422713078827,0.414575640281631,5,2155,16.4,30,79
19,2,1,49,0.681456520719512,3,1.00084880139603,0.532243869861511,4,2070,16.4,30,109
18,5,1,18,0.14291671039102,1,1.17698130002768,0.543149265097718,3,2234,16.1,30,203
28,2,3,8,0.634331083262892,2,0.591288828792967,0.634534243801366,3,2234,16.1,30,203
9,5,2,35,0.733426256661834,4,1.00311368382237,0.516357710960233,5,2155,16.4,30,79
29,4,3,23,0.640067816018561,2,1.11444812364362,0.642866280338139,3,2155,16.4,30,79
28,2,4,36,0.126515153450701,1,1.14112308846067,0.514248804259514,2,2234,16.1,30,203
22,4,4,39,0.178653191987703,1,1.42588522967353,0.365022433890097,4,2665,15.7,20,347
31,3,4,40,0.246278011932345,2,0.987993993478524,0.576096322137292,5,2223,16,30,195
22,5,1,9,0.830584968411739,1,0.197664355845374,0.472193785534901,5,2155,16.4,30,79
7,3,2,27,0.29567538339182,3,0.465168320847168,0.643113067309781,4,2155,16.4,30,79
2,2,1,12,0.341608105038623,4,0.717787750647447,0.657098008020178,2,2234,16.1,30,203
4,3,2,14,0.446119247219639,4,1.05907619059008,0.365751543605219,2,2234,16.1,30,203
21,3,1,38,0.246027586529729,3,1.08063823135387,0.579983778836259,4,2234,16.1,30,203
25,2,1,28,0.610093841518085,1,1.33969397270345,0.417983139831362,5,2219.5,16.05,30,190
3,2,2,25,0.593642829922239,2,1.3267544661688,0.572810428613875,5,2234,16.1,30,203
2,2,4,22,0.752606838788412,2,0.739782263120483,0.439829321204524,2,2234,16.1,30,203
13,2,4,42,0.528116638334512,2,0.352806754429361,0.327691060752175,2,2234,16.1,30,203
28,2,4,41,0.456037647719959,3,0.148623649375888,0.559036002424541,5,2155,16.4,30,79
3,3,1,13,0.514402872740702,4,0.264076309994149,0.434935272350126,4,2022,16.4,30,52
24,4,1,7,0.470163913113138,1,0.738343355035246,0.389421576604401,4,2360,16.4,30,242
4,4,1,35,0.403393905630727,2,1.0108140219984,0.698292783234057,3,2234,16.1,30,203
30,3,2,41,0.256540219378391,3,1.00525319260787,0.353544762751256,5,2220,16,30,191
31,5,1,23,0.613074563876687,4,1.13908855860736,0.691599850346357,4,2234,16.1,30,203
5,3,4,16,0.432748941797704,1,0.592168584062632,0.660701186622347,2,2234,16.1,30,203
12,3,4,8,0.58665908332184,1,1.17421137808609,0.584726197823436,3,2234,16.1,30,203
19,3,3,23,0.698525774201155,3,1.09703030279161,0.463817903342141,3,2155,16.4,30,79
1,3,1,15,0.864029295239623,3,0.648197700350984,0.359903221299646,2,2255,16,30,211
12,4,4,7,0.416359109466914,3,1.49243759880058,0.418077999716912,2,2234,16.1,30,203
2,4,2,25,0.209922155902402,2,0.307580290037449,0.585587675926091,4,2245.5,16.15,30,206
7,3,1,35,0.855641438585393,4,0.179695604297278,0.453477641270797,4,2155,16.4,30,79
29,3,2,42,0.869516064358551,1,1.01657928338018,0.312557450230681,3,2155,16.4,30,79
5,4,3,39,0.234646502117853,3,0.131999085515567,0.546635866210836,4,2234,16.1,30,203
8,4,3,26,0.531854831836801,3,0.675628574536493,0.416555317169472,2,2234,16.1,30,203
6,4,2,8,0.125184954663212,2,1.37338910473747,0.318181223580824,2,2265,16,30,216
28,4,3,10,0.587191445231914,3,1.39316992503689,0.52295673480032,2,2234,16.1,30,203
1,5,4,11,0.717988984662134,4,1.32550798190142,0.449326500617308,3,2155,16.4,30,79
17,4,3,40,0.221097407527581,3,0.164198753782013,0.452331670992006,2,2234,16.1,30,203
