structure,max_depth,score_support,min_samples_split,min_bin_exp,d,cohen,random_proj_exp,random_proj_depth,Weight-,Acceleration+,Mpg+,N+
16,2,4,25,0.112295053520993,2,1.01888957798425,0.425635648773335,5,2155,16.4,30,79
23,5,2,9,0.405967057893524,2,0.954451507419731,0.637315289532032,4,2155,16.4,30,79
29,3,2,34,0.530516723356398,4,1.3722335704818,0.536637646160837,5,2672,15.7,20,355
16,5,1,34,0.442322246367269,3,0.317674472035327,0.408700645730883,4,2322.5,15.8,30,194
21,4,1,24,0.545325533952422,3,0.368914619197861,0.570490936582548,5,2234,16.1,30,203
12,4,4,43,0.202251896372032,1,0.64751875218687,0.311640277562769,2,2234,16.1,30,203
19,5,2,29,0.134144749450811,3,0.394274889515413,0.543712065814741,4,1974,20.75,30,14
5,4,3,10,0.789902679657273,2,0.257735889326748,0.559167314722096,3,2074.5,16.3,30,48
30,2,2,14,0.740956724363288,2,1.12473500920729,0.464757652601552,5,2385,16.5,30,135
1,2,1,43,0.137982546366889,1,1.41392560866205,0.456520457286524,5,2155,16.4,30,79
19,3,1,30,0.852050457505966,4,1.44188019465988,0.525509393099189,5,2155,16.4,30,79
15,5,1,50,0.20033042849191,3,0.607037432107891,0.499260158222689,3,2234,16.1,30,203
9,2,1,15,0.481011069581864,1,0.892674431751999,0.489630248242345,5,2220,16,30,191
13,5,4,21,0.669980478941626,4,0.879794919401109,0.694417041315612,2,2234,16.1,30,203
2,3,4,8,0.404494973062832,3,0.37669293769791,0.62186402788186,4,2155,16.4,30,79
29,4,3,22,0.769309780500972,1,1.0156554384961,0.385509316944119,4,2110,16.4,30,123
31,5,4,17,0.121328707697512,2,1.4596990328116,0.644471821357247,4,2395,15.9,30,143
15,2,2,13,0.756649897896729,2,1.4214081946732,0.485368405162476,3,2234,16.1,30,203
3,3,2,25,0.232537204338524,4,1.36709517679555,0.395621025026099,5,2254.5,15.8,30,118
21,4,2,40,0.640673812850129,1,1.01817582882874,0.354732608386377,4,2155,16.4,30,79
25,2,2,27,0.747983022806223,1,1.27415683766574,0.39244001459147,4,2155,16.4,30,79
30,2,1,12,0.723054876626691,2,0.506280035844244,0.308471566755988,5,2045,16.5,30,95
27,5,3,18,0.722768289601718,3,1.16979750486069,0.528760356796123,2,2234,16.1,30,203
28,2,4,21,0.467299975960301,4,0.252292604000327,0.564022737205566,5,2155,16.4,30,79
4,2,1,36,0.204698616869948,1,1.36140992308879,0.690986586336446,5,2234,16.1,30,203
25,2,4,32,0.249877941090043,1,0.595019966180443,0.570690821921757,4,2080,16.45,30,114
16,5,3,29,0.605237764328139,4,1.23839776701653,0.62952684966806,4,2234,16.1,30,203
20,3,1,18,0.319447992880803,2,1.36669734642626,0.659179209603777,5,2234,16.1,30,203
28,2,2,46,0.358946294675206,3,0.15315889611245,0.540040186945374,4,2155,16.4,30,79
3,2,4,12,0.461446462132293,1,0.301620990939641,0.510998466819586,2,2234,16.1,30,203
28,3,2,16,0.226716582998717,4,1.31601924708739,0.667093701109974,4,2234,16.1,30,203
30,5,4,23,0.797016819427727,4,0.803343619360261,0.605600586250623,3,2385,16.5,30,135
7,2,1,6,0.881418492316641,2,1.45237384235725,0.59529574435147,3,2155,16.4,30,79
12,4,1,44,0.406205317211939,1,0.129434012318243,0.469839072581795,4,2019.5,16.5,30,62
29,5,2,45,0.323582476388887,4,0.143102386941407,0.432360121428807,4,2155,16.4,30,45
6,3,2,44,0.432926574855293,4,0.955004451357434,0.318733955586499,4,2155,16.4,30,79
24,5,3,17,0.13621363516298,1,0.368508752476569,0.582643326166207,2,2234,16.1,30,203
20,4,4,40,0.817630752175127,2,0.798084334300926,0.490420431829047,3,2155,16.4,30,79
27,3,3,34,0.341916774078968,1,1.24025855063341,0.642849449274658,5,2265,16,30,216
17,3,1,35,0.630805200093131,1,0.623945282569785,0.676327632156994,5,2234,16.1,30,203
11,3,3,47,0.563388496576858,3,0.208145360332659,0.512079840823871,2,2234,16.1,30,203
5,4,3,16,0.727419393629998,3,1.37259657891505,0.596791382726289,5,2155,16.4,30,79
1,4,3,44,0.311427230083513,2,1.00000046420084,0.347544000504134,2,2234,16.1,30,203
25,3,1,26,0.574930719518622,1,1.43343879570929,0.328376331014372,2,2234,16.1,30,203
